cm_angle.dist_ctr2best.mean,cm_angle.dist_ctr2worst.mean,cm_angle.angle.mean,cm_angle.costs_runtime,cm_grad.mean,cm_grad.costs_runtime,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.costs_runtime,ela_conv.conv_prob,ela_conv.lin_prob,ela_conv.lin_dev.orig,ela_conv.lin_dev.abs,ela_conv.costs_runtime,ela_curv.grad_norm.min,ela_curv.grad_norm.lq,ela_curv.grad_norm.mean,ela_curv.grad_norm.med,ela_curv.grad_norm.uq,ela_curv.grad_norm.max,ela_curv.grad_norm.sd,ela_curv.grad_scale.nas,ela_curv.hessian_cond.nas,ela_curv.costs_fun_evals,ela_curv.costs_runtime,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_runtime,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.mmce_mda_10,ela_level.lda_qda_10,ela_level.lda_mda_10,ela_level.qda_mda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.mmce_mda_25,ela_level.lda_qda_25,ela_level.lda_mda_25,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.mmce_mda_50,ela_level.lda_qda_50,ela_level.lda_mda_50,ela_level.qda_mda_50,ela_level.costs_runtime,ela_local.n_loc_opt.abs,ela_local.n_loc_opt.rel,ela_local.best2mean_contr.orig,ela_local.basin_sizes.avg_best,ela_local.basin_sizes.avg_non_best,ela_local.basin_sizes.avg_worst,ela_local.fun_evals.min,ela_local.fun_evals.lq,ela_local.fun_evals.mean,ela_local.fun_evals.median,ela_local.fun_evals.uq,ela_local.fun_evals.max,ela_local.fun_evals.sd,ela_local.costs_fun_evals,ela_local.costs_runtime,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,ic.h.max,ic.eps.s,ic.eps.max,ic.eps.ratio,ic.m0,ic.costs_runtime,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.costs_runtime
8.402151457034216e-06,0.0,-0.00013732574392678843,0.0,-0.004595550801763636,6.59977498545646e-05,-0.0004552613389135103,7.027483937537761e-06,-1.6456787483091736e-05,-0.0042595263524344345,-0.0007149409735898927,0.00010679151368444715,-0.00016644339347766582,-5.515460947385221e-05,2.1715529172082e-05,0.0008282561723092258,0.014187302973791227,0.00015552242131981726,2.8275013447678216e-05,-0.00036899732369148256,0.0,1.9686320074367822e-05,-0.01750653353349145,-0.0018332576299260554,0.0,0.0,0.0,0.0009199340672898068,1.3515153486820186,-0.02203956806637179,-0.0007040486994378506,-0.013917427502613818,0.0,-1.660241439984441e-06,0.0,0.0,-0.005367549466231117,0.0,-0.0013302223809595443,-0.00011793366797220855,0.0,-0.0016547275244119097,-1.9127995688616566e-05,-4.1464699152074496e-08,0.00033870149173019016,-0.009443078226563567,0.03754511769679062,-2.4110273762569456e-05,-0.0010095212616987208,-0.003197243891304275,0.0,-0.0001817020823364132,-0.0005106776178095297,-0.002382177498700956,0.000200273799186554,1.2326197783587815e-05,-0.00980374307246017,-0.003599838597834034,0.0,-0.001230381080555389,1.0567037186939558e-05,0.0007573189631551837,0.0,0.0,-0.07201536025116197,0.0,0.0,0.0,1.4952164887998656e-05,-0.01839240580627881,-0.00012136653011060209,-0.0058817059512788865,0.0,-0.00031225410427631413,0.043764969177447335,0.0006374440628097924,-0.00641094900904454,0.01012764785507248,0.0,-0.000521315236634426,0.0010067354976560632,-0.00060367847653641,5.393578253107797e-05,0.013586950347801814,-5.3782974600640975e-05,-0.028409475111646026,8.878602551543243e-05,-0.04996354751301396,-0.004665167590361438,-0.011074808206936026,0.018892297637686073,0.0,-0.0006543992713458086,0.00015905934719625224,0.03321865734308045,0.0005553344733001838,-0.01789498844981222,-0.0005496393037691993,0.0
-3.328062540638039e-06,0.0,0.00020682442384942646,0.0,-0.004554810005707985,-7.269605291681437e-05,-0.0003855014575446609,5.6291091372598405e-06,-1.6456787483091736e-05,-0.004347705382426759,-0.0002866065965543863,0.0002946367238240589,-0.00010877400051842074,-3.653774559884008e-05,1.785657659458687e-05,0.0007747202263627189,-0.0004979381007118423,0.0001953161972533781,1.9371292129299607e-05,-0.0007789417181192659,0.0,6.305097449447161e-05,-0.0054092846023861,-0.005032211626521961,0.0,0.0,0.0,0.000930003148967026,1.196166059755637,-0.01451807855765789,-0.0007133625031610184,-0.006228823462118205,0.0,4.941954180647315e-06,0.0,0.0,-0.013576616424516918,0.0,-0.0031309791911960645,-8.11779094588305e-05,0.0,-0.0011294573868793362,-1.4450334770961575e-05,4.466655141876671e-09,0.0002492197915962357,0.00045754349639263813,0.0346642165933212,-1.740027046547531e-05,-0.0010602803235735799,-0.002529700801197994,0.0,-0.00013960793453365013,-0.0003385523635447353,-0.0018335795091512228,-0.0020902024887009775,1.5243112277015865e-06,-0.009720339293639359,-0.0023936007002705933,0.0,-0.001623424157231969,6.709180238573302e-07,0.0006015160732494102,0.0,0.0,0.15893200059180576,0.0,0.0,0.0,1.550596928146774e-05,-0.006484171603780721,-9.061250769872064e-05,-0.001349602566472102,0.0,-0.0011619016673231914,0.060401617862581095,0.0005939167361804024,-0.00641932715716848,0.021800700439249966,0.0,-0.0013031279870802828,0.0009489573979227692,-0.00042221923791034067,0.0011588145454117793,0.00557586155252004,-4.9538715447550405e-05,-0.008808971470796062,0.00014296353567314112,0.042745771986111326,-0.004902697250658994,-0.008224200540482875,0.01732662156679374,0.0,-0.0005863634192742396,3.792730167592089e-05,-0.007544877368989715,0.0005708600758400278,-0.009579567810435454,-0.000856479578350629,0.0
-4.20107572851704e-06,0.0,-1.4147390796102454e-05,0.0,-0.00461244303602122,-9.899662478184633e-05,0.001084209363995451,7.027483937537761e-06,-1.6456787483091736e-05,-0.004418466886748386,0.003379251066626593,0.0002946367238240589,-0.00016644339347766582,-5.515460947385221e-05,2.1715529172082e-05,0.0009718913570791398,0.011405650700486969,0.00044991585125619716,1.748051434931569e-05,-0.00036899732369148256,0.0,1.9686320074367822e-05,-0.005418101211560515,-0.0036080364583936583,0.0,0.0,0.0,0.0007512604970448503,1.418912792964854,-0.021871151334610452,-0.0007040486994378506,-0.006151368532460753,0.0,-9.166012958673753e-07,0.0,0.0,-0.005367549466231117,0.0,-0.0013302223809595443,-0.00011793366797220855,0.0,-0.00636721133637024,-1.9127995688616566e-05,-1.7158964396096776e-08,0.0003181864982376311,-0.009463044389556356,0.03754511769679062,-2.4110273762569456e-05,-0.0010095212616987208,-0.00263044366682219,0.0,-0.0001817020823364132,-0.0005078161062569953,-0.002382177498700956,0.000200273799186554,6.0383910860314e-06,-0.00980374307246017,-0.0036335277994675357,0.0,-0.001230381080555389,-1.5850555780409338e-05,0.0007573189631551837,0.0,0.0,-0.07152962652661497,0.0,0.0,0.0,1.4952164887998656e-05,-0.01854739889018471,-0.00013113563057220523,-0.0058817059512788865,0.0,-0.00031225410427631413,0.05353361721313818,0.0005181224174077649,-0.004288646721835537,0.01012764785507248,0.0,-0.000521315236634426,0.0010067354976560632,-0.00024809757958335133,5.393578253107797e-05,0.015199655987821614,-5.3782974600640975e-05,-0.03110706892710428,8.878602551543243e-05,0.04279014324078795,-0.004130893920249826,-0.010059920218803533,0.01893633863504811,0.0,0.0002766401076629876,4.062541105283139e-05,0.03321865734308045,0.0003597091321954314,-0.008902683828988593,-0.0005496393037691993,0.0
-4.155871715589351e-06,0.0,-1.737989216550129e-05,0.0,-0.004784187872185221,-7.269605291681437e-05,-0.0007339580769351022,6.9550770673699455e-06,-1.6456787483091736e-05,-0.004611951933236343,0.0015886066244773097,0.00010679151368444715,-0.00010386065035943471,-5.419064126928883e-05,2.1515715303720688e-05,0.0009133522180753812,0.003838956470231971,0.0003737158700430628,1.3312502589624998e-05,-0.0004931021086166988,0.0,0.00012137565400924716,-0.005418101211560515,-0.00109881164314413,0.0,0.0,0.0,0.0009496936037380391,1.136069672441836,-0.013134221448848885,-0.0007040486994378506,-0.006468777698599757,0.0,-9.532938019529702e-07,0.0,0.0,-0.007473530109844161,0.0,-0.0032840527483703123,-8.11779094588305e-05,0.0,-0.0010889349303327739,-1.1524806872546025e-05,3.2569002642414258e-09,0.00030136441179788744,-0.0006919562844722224,-0.00013918310306163832,-1.740027046547531e-05,-0.0009305525276689844,-0.0025961572220308477,0.0,-0.00010209305936316709,-0.0004933730486400749,-0.002387642949442564,0.00027244512514489614,-1.02941319662044e-06,-0.00597818106249428,-0.0025585114362079303,0.0,0.00028554553810526944,-5.963229850256569e-07,0.0007492515983693339,0.0,0.0,0.0849817597902139,0.0,0.0,0.0,1.4165832995414182e-05,-0.004106979720384274,-0.00010243355574280982,-0.0027798575933469395,0.0,-0.0005379853247290867,0.050020697964322375,0.000372093378484044,-0.004346817271155316,-0.03769064032088108,0.0,-0.0013403543485568034,0.0009506948088049149,-0.00020327139911378357,0.02246393885950634,0.10460952719597133,-4.954992205146026e-05,0.000970788845240974,0.00033907088282369156,0.04271765787626689,-0.008299882976473135,-0.0038025045980019925,0.07965692264345484,0.0,-0.0005387008448288048,0.00014371283262702185,0.016472982255627554,-0.0017017910124487844,-0.01324113690843366,-0.0005813729434080339,0.0
6.656125081276092e-06,0.0,1.2300887201068499e-05,0.0,-0.004577595098530247,-7.269605291681437e-05,0.0018344059589232718,5.6291091372598405e-06,-1.6456787483091736e-05,-0.004380451577714331,0.0009979902827955101,0.0002946367238240589,-0.00010385716312311406,-3.653774559884008e-05,-5.9521921981956115e-06,0.0016665747620214012,0.006936327116397502,0.00024093378094067135,1.3312502589624998e-05,-0.0007789417181192659,0.0,6.305097449447161e-05,-0.01750653353349145,-0.007734380715124617,0.0,0.0,0.0,0.0008616670038952432,1.1215480009052061,-0.012446768694153398,-0.0007040486994378506,-0.013881405240639348,0.0,6.108304118196666e-07,0.0,0.0,-0.013576616424516918,0.0,-0.0031735321566434905,-8.11779094588305e-05,0.0,-0.001296243105818985,-1.1524806872546025e-05,2.967903461880127e-09,0.00030886608558601227,-0.000998910816116549,-0.00019152379901841624,-1.740027046547531e-05,-0.0009601076174828958,-0.003096501025680079,0.0,-0.00011275300393615703,-0.0003406648604194785,-0.0018335795091512228,0.0004475200384986799,1.3051549802590269e-06,-0.00597818106249428,-0.0024950145354287693,0.0,0.0003242648358283964,-1.0063770357859947e-06,0.0006015160732494102,0.0,0.0,0.1571696971046479,0.0,0.0,0.0,1.8104661119133795e-05,-0.004591701074442908,-9.746030307433316e-05,-0.0027798575933469395,0.0,-0.000889478758486515,0.054758116686350035,0.0004262548517316408,-0.004148572728179045,0.023337010212772007,0.0,-0.0013020969977885306,0.0012442520078369075,-0.0001798640862871712,0.0011588145454117793,0.009519202245473117,-7.671449908001799e-05,-0.01805187754446055,0.00014296353567314112,-0.05000791876769058,-0.00542886262769227,-0.013085466036671234,0.019101943970848034,0.0,-0.0004492181091309308,-7.585460335184048e-05,0.016472982255627554,-0.0008615121181198795,-0.01556539592819595,-0.0008464378300437822,0.0
6.656125081276092e-06,0.0,2.4846078436102474e-05,0.0,-0.01287841808755746,4.846403527787623e-05,0.0008822506793997117,5.6291091372598405e-06,-2.5228529952137915e-05,-0.01322331689735584,0.000960946633730059,0.001158529018372316,-0.00010386065035943471,-3.653774559884008e-05,-5.9521921981956115e-06,0.027073852946031957,0.006945439116242128,0.00016069214770008747,1.3312502589624998e-05,-0.0007789417181192659,0.0,6.305097449447161e-05,0.013600479320597611,0.12505004925292862,0.0,0.0,0.0,0.0008928073217813709,1.3216745815878994,-0.012384000451092614,-0.0007133625031610184,0.007919869191911906,0.0,-4.568012961907739e-07,0.0,0.0,-0.013576616424516918,0.0,-0.0031735321566434905,-8.11779094588305e-05,0.0,0.0011720014199364374,-1.1524806872546025e-05,4.316779973876598e-09,0.00030136441179788744,-0.000998559777668427,-0.00019152379901841624,-1.740027046547531e-05,-0.0009592317517450264,-0.0006612478135065761,0.0,-0.00011275300393615703,-0.0003406648604194785,-0.0018335795091512228,0.0004475200384986799,-1.1041028862049168e-06,-0.00597818106249428,-0.002473589227583077,0.0,0.0003242648358283964,-8.220729256173694e-07,0.0004541588226236289,0.0,0.0,0.15723036466164134,0.0,0.0,0.0,1.8104661119133795e-05,-0.004492578835535395,-0.00010165026758233119,-0.004422527723799888,0.0,-0.000889478758486515,0.061718472716597604,0.0004262548517316408,-0.0041300347961707295,0.023337010212772007,0.0,-0.0013020969977885306,0.0012442520078369075,-0.000819666871896067,0.0012436090117375759,0.009403396320571125,-7.671449908001799e-05,-0.018021358771705905,0.00014296353567314112,0.0067103094874070065,-0.002775792497393216,-0.0026754918615332873,0.01907253507152131,0.0,0.0008221537663437035,0.003851814793232211,0.016472982255627554,-0.0006102703959195686,0.11676359092211605,-0.0008460129856807763,0.0
-5.549165615488917e-06,0.0,1.2790120615544399e-05,0.0,-0.004841564152288081,6.59977498545646e-05,0.0018348951923377482,9.143999754738323e-06,-2.5228529952137915e-05,-0.0046163691282923355,0.0016641216181855025,0.0002946367238240589,-0.00015657626529197801,-9.253851151328813e-05,2.721939854473214e-05,0.001297401183127604,0.005148256277002369,0.00014259126118464172,1.748051434931569e-05,-0.00027644984945440835,0.0,1.2669964654033177e-05,-0.0054092846023861,-0.002414595276422167,0.0,0.0,0.0,0.0009185310979119312,1.1884704528829373,-0.023785843060821335,-0.0007133625031610184,-0.006336214409485771,0.0,-6.10830411820534e-07,0.0,0.0,-0.003797076663945546,0.0,-0.0013007051069467,-0.00011793366797220855,0.0,-0.0007141541111002482,1.912799568861662e-05,4.829245851507119e-09,0.0003068534565588333,0.0003839781004847717,0.03918494819992558,-2.4110273762569456e-05,-0.0008114514748316446,-0.0026560117693568324,0.0,-0.00012128327506613463,-0.0008841148578825344,-0.0036784785394586264,0.00014646392579812165,-1.456833927698412e-06,-0.00980374307246017,-0.003763601629733752,0.0,0.0016856405914900678,-9.312260119332841e-07,0.0008746957664566726,0.0,0.0,-0.037024951251153085,0.0,0.0,0.0,1.539558079870834e-05,-0.00683168749263321,-0.0001319209051990083,-0.0058817059512788865,0.0,-0.0002726157843446021,0.041044322438534585,0.0004207433822860057,-0.0029676227532525064,-0.023956575770876225,0.0,-0.0005394812192456391,0.0010869200797747876,-0.00022544147431987884,0.004699230153358309,0.1675135032027342,4.739154380379641e-05,0.017087006194430456,0.00016643701228923164,0.04279014324078795,-0.005233369655249498,-0.00930923439046123,0.03265863395980001,0.0,0.0007258474374476579,4.062541105283139e-05,0.03321865734308045,-0.0005224572709361874,-0.00989293972816496,-0.0004429744344698453,0.0
-1.2149718930001613e-05,0.0,-6.971159432003337e-05,0.0,0.00440473148125969,-9.899662478184633e-05,-0.00039091688495393895,1.9506940406880622e-05,-1.6456787483091736e-05,-0.0037988565867732387,-0.0013646310142830529,0.00010679151368444715,-0.00016644339347766582,-5.925503700367939e-05,1.854874022377896e-05,0.00017481253649889887,-0.0005753673880460749,0.00037215221144411834,2.8275013447678216e-05,-0.00036899732369148256,0.0,1.878982850068631e-05,-0.021954444649619893,-0.036715078434006086,0.0,0.0,0.0,0.0009430434899522843,1.4520698146190134,-0.022073572320504574,-0.0005428683525338534,-0.009541406544358772,0.0,4.941954180647315e-06,0.0,0.0,-0.005367549466231117,0.0,-0.0012565829309722182,-0.00011793366797220855,0.0,-0.0005320149923777222,-1.9127995688616566e-05,4.3082469351149045e-09,0.00034565007098292003,-0.0019991983153746537,-0.00035619171811715353,2.411027376256962e-05,-0.0007947694196495944,-0.002830074104162308,0.0,-0.0001817020823364132,0.0015118345993419956,0.0006482932730615522,-0.0009302892803439884,1.942025117518819e-06,-0.010609858954802907,-0.003707776690479018,0.0,-0.0012312939153092495,-1.8998195194188902e-06,0.000626669677375087,0.0,0.0,-0.0791426024723998,0.0,0.0,0.0,3.2599665977265865e-05,-0.007391431376731742,-0.000117062371090694,-0.006798545093857279,0.0,-0.00038107863921909776,0.04382308838491214,0.0008277973556545725,-0.00931512762828001,0.010045936222563284,0.0,-0.0005222171834093774,0.002054124715218696,-0.0012440713808619815,5.393578253107797e-05,0.0077530154283395915,-0.00017615270746557674,-0.022823236808181668,8.878602551543243e-05,0.04279014324078795,-0.00409994151247059,-0.007925930727894723,0.019085456402262918,0.0,0.0011980931765838538,4.062541105283269e-05,0.032412541460737715,0.0005986898244347003,0.0504982485216358,-0.0005496393037691993,0.0
-4.155871715589351e-06,0.0,-1.737989216550129e-05,0.0,-0.004833795326469139,4.846403527787623e-05,-0.0007339580769351022,6.9550770673699455e-06,-2.5228529952137915e-05,-0.004522964794765289,0.0015886066244773097,0.00010679151368444715,-0.00010386065035943471,-5.419064126928883e-05,2.1515715303720688e-05,0.0010298748981228169,0.0037756288773251848,0.0002934742368024787,1.3312502589624998e-05,-0.0004931021086166988,0.0,0.00012137565400924716,-0.005418101211560515,-0.0010608526261765632,0.0,0.0,0.0,0.0009496936037380391,1.1376297257646446,-0.01313393394277188,-0.0007040486994378506,-0.006378806097161155,0.0,-9.532938019529702e-07,0.0,0.0,-0.007473530109844161,0.0,-0.0032443803109325395,-8.11779094588305e-05,0.0,-0.0007220815808698495,-1.1524806872546025e-05,3.2569002642414258e-09,0.00030136441179788744,-0.0006979207374984931,-0.00013918310306163832,-1.740027046547531e-05,-0.0009305525276689844,-0.0025961572220308477,0.0,-0.00010209305936316709,-0.0005256450568421647,-0.002387642949442564,0.00027244512514489614,-1.02941319662044e-06,-0.00597818106249428,-0.0025324336331439086,0.0,0.00028554553810526944,-5.963229850256569e-07,-0.0007394463390964456,0.0,0.0,0.08536987415702661,0.0,0.0,0.0,1.4165832995414182e-05,-0.004112944173410545,-0.00010243355574280982,-0.0027798575933469395,0.0,-0.0005439497777553574,0.04704517671837307,0.000372093378484044,-0.004328279339147,-0.03782416059734439,0.0,-0.0013403543485568034,0.0009506948088049149,-0.00013044811717281162,0.022548733325832137,0.10451283805515568,-4.954992205146026e-05,0.0013572209980065094,0.00033907088282369156,0.042745771986111326,-0.008299882976473135,-0.0038025045980019925,0.07965562785397257,0.0,0.0011800572526915072,0.00015905934719625224,0.016472982255627554,-0.0017115835643815385,-0.013443973041900094,-0.0005813729434080339,0.0
8.402151457034216e-06,0.0,9.093981459911207e-05,0.0,0.048466243842854875,6.59977498545646e-05,0.0018348951923377482,7.027483937537761e-06,-2.5228529952137915e-05,-0.0035962956777338597,0.005513946914618407,0.00010679151368444715,-0.00016644339347766582,-5.515460947385221e-05,2.1715529172082e-05,0.0003538162175938548,-0.00035085518293245723,0.00040864616110306815,1.748051434931569e-05,-0.00036899732369148256,0.0,-5.124660324284599e-05,0.09548706640548081,-0.03562812542292213,0.0,0.0,0.0,0.0006576203551898684,1.5017296858961657,-0.021708843190822,-0.00047112512471443775,-0.0005837856727840675,0.0,-6.10830411820534e-07,0.0,0.0,-0.005367549466231117,0.0,-0.001159717389180084,-0.00011793366797220855,0.0,-0.006255595834078072,1.4431827781823147e-05,-1.7158964396096776e-08,0.0004227081515925,-0.009426631487826211,0.03754333683486715,-2.4110273762569456e-05,-0.0007536701370976894,-0.002113183920825192,0.0,-0.0001817020823364132,-0.0005106776178095297,-0.0012505770799424365,-0.0009349882179603055,6.0383910860314e-06,-0.010609858954802907,-0.0037047044506423365,0.0,-0.0012312939153092495,-1.5850555780409338e-05,0.0006099617125294025,0.0,0.0,-0.07233107727674476,0.0,0.0,0.0,1.641809600878861e-05,-0.018541306970406443,-0.00013695108490805082,-0.006798545093857279,0.0,-0.0003929325338002793,0.06029802737896378,0.000628678130268624,-0.007226153015851334,0.010045936222563284,0.0,-0.0005222620695477991,0.0010049546357325948,-0.0005719995236701774,0.000138730248856875,0.012548844676660658,-5.3782974600640975e-05,-0.0224657016919048,8.878602551543243e-05,0.01305537867879791,-0.003430236883453274,-0.0042771193655383715,0.01904141540490089,0.0,0.0002817383473202632,4.062541105283269e-05,0.032412541460737715,-0.0009399440000779824,0.05845957287522798,-0.0005496393037691993,0.0
